15	10	E	-9002718.417558074	181
transitionprobs	11	10	3.990968485359779E-4
transitionprobs	11	11	0.8470923306130749
transitionprobs	11	12	0.04984805108460338
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0
transitionprobs	11	15	1.561207788641672E-4
transitionprobs	12	1	1.7846006584498766E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.002596544855331567
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0010354799904549773
transitionprobs	12	7	2.170906158815494E-5
transitionprobs	12	8	4.889363241821165E-4
transitionprobs	12	9	0.0
transitionprobs	12	10	0.0
transitionprobs	12	11	0.007372551422383723
transitionprobs	12	12	0.8815076004671142
transitionprobs	12	13	0.10609142041413311
transitionprobs	12	14	0.0
transitionprobs	12	15	7.072973989671611E-4
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	1.653347279897246E-4
transitionprobs	13	5	0.0
transitionprobs	13	6	4.8593743558318067E-4
transitionprobs	13	7	1.2715376901795812E-5
transitionprobs	13	8	8.386325681281184E-5
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	0.004356541419315133
transitionprobs	13	13	0.989966742255133
transitionprobs	13	14	0.0037872529655115666
transitionprobs	13	15	0.0011416125627526077
transitionprobs	14	1	4.980227868094457E-4
transitionprobs	14	2	0.0
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0014206763710537796
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0027602338415893216
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.0
transitionprobs	14	13	0.008782366000025122
transitionprobs	14	14	0.9780401502103969
transitionprobs	14	15	0.00849855079012549
transitionprobs	15	1	0.005222852357947457
transitionprobs	15	2	9.51149362696358E-4
transitionprobs	15	3	0.0019115087979365078
transitionprobs	15	4	0.029651789733805396
transitionprobs	15	5	7.066447086480559E-4
transitionprobs	15	6	0.004974942553418082
transitionprobs	15	7	5.483306205811154E-4
transitionprobs	15	8	0.009419867344289182
transitionprobs	15	9	1.5032764977182268E-5
transitionprobs	15	10	1.93164997065363E-6
transitionprobs	15	11	1.4220716933349635E-4
transitionprobs	15	12	0.0024608181679518022
transitionprobs	15	13	0.08561789541335098
transitionprobs	15	14	0.27236914151536357
transitionprobs	15	15	0.5860058878397302
emissionprobs	1	0	Ctcf	0	0.9935139002593022
emissionprobs	1	0	Ctcf	1	0.006486099740697748
emissionprobs	1	1	Ezh239875	0	0.9734253112972371
emissionprobs	1	1	Ezh239875	1	0.02657468870276281
emissionprobs	1	2	H2az	0	0.999922607162405
emissionprobs	1	2	H2az	1	7.739283759510105E-5
emissionprobs	1	3	H3k04me2	0	0.9958375354165944
emissionprobs	1	3	H3k04me2	1	0.004162464583405568
emissionprobs	1	4	H3k04me3	0	1.0
emissionprobs	1	4	H3k04me3	1	5.824238288757324E-27
emissionprobs	1	5	H3k09ac	0	0.9784420515642592
emissionprobs	1	5	H3k09ac	1	0.02155794843574079
emissionprobs	1	6	H3k09me3	0	0.9989274807751045
emissionprobs	1	6	H3k09me3	1	0.0010725192248953854
emissionprobs	1	7	H3k27ac	0	0.9877506264836338
emissionprobs	1	7	H3k27ac	1	0.012249373516366135
emissionprobs	1	8	H3k36me3	0	0.9547075030514746
